1.5,0,0,1,1
1.5207668,0,0.016,0.9638365965928,0.9638365965928
1.5415335,0,0.032,0.907459521993552,0.907459521993552
1.5623003,0,0.048,0.860721360247946,0.860721360247946
1.5830671,0,0.064,0.814414966502987,0.814414966502987
1.6038339,0,0.08,0.761480827117374,0.761480827117374
1.6246006,0,0.096,0.693203841806773,0.693203841806773
1.6453674,0,0.112,0.619860175418786,0.619860175418786
1.6661342,0,0.128,0.550032260330217,0.550032260330217
1.686901,0,0.144,0.483930431328133,0.483930431328133
1.7076677,0,0.16,0.417371398657186,0.417371398657186
1.7284345,0,0.176,0.353000591379373,0.353000591379373
1.7492013,0,0.192,0.294492787927162,0.294492787927162
1.7699681,0,0.208,0.241900533087697,0.241900533087697
1.7907348,0,0.224,0.192947229179912,0.192947229179912
1.8115016,0,0.24,0.149030241328,0.149030241328
1.8322684,0,0.256,0.112076128154589,0.112076128154589
1.8530351,0,0.272,0.0813749249944251,0.0813749249944251
1.8738019,0,0.288,0.0544998014121917,0.0544998014121917
1.8945687,0,0.304,0.031475143300295,0.031475143300295
1.9153355,0,0.32,0.0128817075853469,0.0128817075853469
1.9361022,0,0.336,-0.00234883258720164,-0.00234883258720164
1.956869,0,0.352,-0.0161963607180728,-0.0161963607180728
1.9776358,0,0.368,-0.0285174639777881,-0.0285174639777881
1.9984026,0,0.384,-0.0385395578313756,-0.0385395578313756
2.0191693,0,0.4,-0.0466612159859301,-0.0466612159859301
2.0399361,0,0.416,-0.0539321281477254,-0.0539321281477254
2.0607029,0,0.432,-0.0597495891703863,-0.0597495891703863
2.0814696,0,0.448,-0.0631420597682988,-0.0631420597682988
2.1022364,0,0.464,-0.0642442533132019,-0.0642442533132019
2.1230032,0,0.48,-0.0638405866429712,-0.0638405866429712
2.14377,0,0.496,-0.0614476991303097,-0.0614476991303097
2.1645367,3.074168e-09,0.512,-0.0564157347150205,-0.0564157347150205
2.1853035,1.7088691e-08,0.528,-0.0491148299545472,-0.0491148299545472
2.2060703,4.9056829e-08,0.544,-0.04049681195942,-0.04049681195942
2.2268371,1.0398566e-07,0.56,-0.0304110699282782,-0.0304110699282782
2.2476038,1.8564341e-07,0.576,-0.0186055882618832,-0.0186055882618832
2.2683706,2.9738969e-07,0.592,-0.00569088451227895,-0.00569088451227895
2.2891374,4.4174787e-07,0.608,0.00725729531187958,0.00725729531187958
2.3099042,6.1949981e-07,0.624,0.0202381396307462,0.0202381396307462
2.3306709,8.2989383e-07,0.64,0.033339013368419,0.033339013368419
2.3514377,1.071095e-06,0.656,0.0459650806799962,0.0459650806799962
2.3722045,1.3409658e-06,0.672,0.057140909381922,0.057140909381922
2.3929712,1.6375854e-06,0.688,0.0670011421609512,0.0670011421609512
2.413738,1.9597085e-06,0.704,0.0757069464126712,0.0757069464126712
2.4345048,2.3047062e-06,0.72,0.0829111247693832,0.0829111247693832
2.4552716,2.6653859e-06,0.736,0.087856837139437,0.087856837139437
2.4760383,3.0296459e-06,0.752,0.090983167356176,0.090983167356176
2.4968051,3.3813737e-06,0.768,0.0925719518681939,0.0925719518681939
2.5175719,3.7005372e-06,0.784,0.0925999622560709,0.0925999622560709
2.5383387,3.9653437e-06,0.8,0.0904541260604403,0.0904541260604403
2.5591054,4.1568805e-06,0.816,0.0868821220043285,0.0868821220043285
2.5798722,4.2595073e-06,0.832,0.0821879340773912,0.0821879340773912
2.600639,4.2621068e-06,0.848,0.0765746336811175,0.0765746336811175
2.6214058,4.1616019e-06,0.864,0.0694822219292965,0.0694822219292965
2.6421725,3.9620898e-06,0.88,0.0617518556345925,0.0617518556345925
2.6629393,3.6725258e-06,0.896,0.0537664939686173,0.0537664939686173
2.6837061,3.3069338e-06,0.912,0.0455721496924015,0.0455721496924015
2.7044728,2.8836681e-06,0.928,0.0368754406713147,0.0368754406713147
2.7252396,2.4226491e-06,0.944,0.0281315265724097,0.0281315265724097
2.7460064,1.9445659e-06,0.96,0.0201027393462574,0.0201027393462574
2.7667732,1.4715436e-06,0.976,0.0123159680007093,0.0123159680007093
2.7875399,1.0269042e-06,0.992,0.00478317435523057,0.00478317435523057
2.8083067,6.3452517e-07,1.008,-0.00230404229279269,-0.00230404229279269
2.8290735,3.1819302e-07,1.024,-0.00827788147447595,-0.00827788147447595
2.8498403,1.0028265e-07,1.04,-0.0134563037893225,-0.0134563037893225
2.870607,0,1.056,-0.0183451237620822,-0.0183451237620822
2.8913738,3.3559601e-08,1.072,-0.0223220385435317,-0.0223220385435317
2.9121406,2.2194553e-07,1.088,-0.0251519980324142,-0.0251519980324142
2.9329073,5.8560646e-07,1.104,-0.0271230085315031,-0.0271230085315031
2.9536741,1.1419438e-06,1.12,-0.0286636553600943,-0.0286636553600943
2.9744409,1.9021695e-06,1.136,-0.0295413763112866,-0.0295413763112866
2.9952077,2.8706285e-06,1.152,-0.0291632359753899,-0.0291632359753899
3.0159744,4.0466481e-06,1.168,-0.0281109616622433,-0.0281109616622433
3.0367412,5.4261042e-06,1.184,-0.0269501147611513,-0.0269501147611513
3.057508,7.0004497e-06,1.2,-0.0251607597074959,-0.0251607597074959
3.0782748,8.7540556e-06,1.216,-0.0224533276271139,-0.0224533276271139
3.0990415,1.066226e-05,1.232,-0.0193173289356223,-0.0193173289356223
3.1198083,1.269139e-05,1.248,-0.0162986410702148,-0.0162986410702148
3.1405751,1.4799961e-05,1.264,-0.0130936609198591,-0.0130936609198591
3.1613419,1.693953e-05,1.28,-0.00913510561629893,-0.00913510561629893
3.1821086,1.905465e-05,1.296,-0.00497303166767815,-0.00497303166767815
