power (W),T_1 (s),T_1 error (s),Exp Num
0.0005953867135636984,1.5442783312848658,0.05448023977773749,28
0.024449322498654395,1.7257978892180843,0.019044605967511098,29
0.0549315695093133,1.7717284379541824,0.021489546874974407,30
0.08690075992339785,1.8531420063807782,0.012941155522774717,31
0.11687126296840793,1.8957437908257058,0.011321038812796225,32
1.9952623149688786e-11,1.635707095259514,0.04364263941781998,304
"
"
