power (W),Integral (real),Integral (imag),Exp Num
1.5848931924611143e-11,0.9999999999999999,0.0,5
0.0006174125406040168,0.7112573721095927,0.023719908898590533,6
0.004516086718642057,-0.628231668642407,0.007269398105986399,7
0.008733103553371542,-1.6880876705854657,0.08353259059718197,8
0.012939409817787188,-2.4428494903746003,0.08455901745515132,9
0.01829424955841516,-3.2254752128028845,0.24404487768074803,10
0.021627187320886802,-3.6068190085577276,0.2978036291427438,11
0.025254566352094922,-4.046973901055956,0.19944960817506396,12
0.028381162386788592,-4.334417085678949,0.16549341770197978,13
0.033004288879509576,-4.656562777300612,0.3552796212006102,14
0.03732293016694531,-4.950243565381487,0.34116056704110814,15
0.046281734158690184,-5.433571460396441,0.43762429441677025,16
0.05267062168092163,-5.716119004002805,0.6120728579508138,17
0.05599440841243018,-5.850155680142281,0.6142880602649515,18
0.0632819572361798,-6.110983476512978,0.6647959113518046,19
0.07789848376200251,-6.506996711556308,0.9214623872355184,20
0.08838183502683272,-6.753303595957603,1.0219141141553227,21
0.1039474488279693,-7.042771913672268,1.267683259220405,22
0.11687126296840793,-7.232369793600449,1.4418495801301043,23
0.052127139250940195,-5.549562640682792,0.5417551793777305,24
0.020896960517834774,-3.3527874143130965,0.17357087957641124,25
0.004265252159607583,-0.4765252603448787,0.04752851586879725,26
"
"
